T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
260 9.423492718E-06 9.970786450E-06 3.717671521E-01 5.290242464E+00 1.378765650E+00 1.695641893E-01 4.564086089E+04 1.502090570E+05 3.564086089E+00 8.854159592E-06 6.348784389E-07 1.192440291E-02 2.898927908E+00 1.405769172E-01 8.261505071E-03 1.410091729E+04 3.508963552E+02 5.248529124E-03 2.951652041E+01 3.184462599E+01 1.951652041E+00 1.030309782E-03 6.876192924E-05 7.323935587E-02 1.036020724E-01 1.399706361E-02
270 1.344356579E-05 1.270468002E-05 1.037622809E-01 5.568619541E+00 1.415152013E+00 9.224540705E-02 7.060227785E+04 1.750907514E+05 6.060227785E+00 1.726204723E-05 8.149306663E-07 4.998943086E-03 2.854742119E+00 1.310497044E-01 1.013470350E-03 8.332569057E+03 1.786794755E+02 2.815738271E-03 2.571408724E+01 3.228004906E+01 2.857043621E-01 1.015476537E-03 9.141659962E-05 4.688302825E-02 1.047045483E-01 2.349253200E-02
280 1.192770829E-05 8.874448992E-06 2.048194474E-01 5.458789796E+00 9.193058801E-01 7.719158493E-02 1.634192518E+04 3.714163759E+04 6.341925179E-01 3.239945378E-05 9.635241483E-07 1.123252216E-02 2.844900982E+00 1.178151599E-01 2.124650635E-02 5.155400336E+03 8.078062912E+01 7.843758943E-03 2.645327874E+01 2.357871040E+01 1.182240419E-01 1.005383754E-03 2.823174649E-05 2.590179002E-02 1.006806456E-01 2.177045901E-03
290 1.532564711E-05 1.081216386E-05 2.170980751E-02 5.572171481E+00 9.614952777E-01 2.438242582E-02 6.451408202E+04 1.752527677E+05 5.451408202E+00 5.785510273E-05 3.240307429E-06 2.002485798E-02 2.848975387E+00 1.702188249E-01 4.582640788E-02 3.295600174E+03 1.135695759E+02 1.742108794E-02 2.543225824E+01 2.698278937E+01 3.641935441E-01 1.006244668E-03 2.237600379E-05 1.640875570E-02 1.022389133E-01 5.778431189E-03
300 1.395828485E-05 1.092283361E-05 6.944767696E-02 5.162148164E+00 1.126426451E+00 6.500591375E-02 3.401665122E+04 1.023144946E+05 2.401665122E+00 9.901855570E-05 1.225297552E-05 2.441918741E-02 2.823019298E+00 4.638330889E-01 5.863223670E-02 2.174710948E+03 1.696457814E+02 2.842857358E-02 4.116324748E+01 4.288233687E+01 1.767350504E-01 1.021051721E-03 3.553459470E-05 2.105172119E-02 1.072851080E-01 3.849836116E-02
310 1.724935746E-05 1.999541504E-05 1.499571640E-01 5.151344615E+00 1.469469751E+00 3.586146350E-02 5.282386492E+04 1.581786732E+05 4.282386492E+00 1.763557766E-04 3.237269419E-05 1.080996939E-01 3.135959074E+00 8.902827323E-01 2.001818678E-01 1.602373267E+03 3.224902834E+02 1.292597827E-01 3.659693451E+01 6.220894909E+01 3.900510915E-01 1.037681133E-03 7.018281583E-05 2.740706205E-02 1.152067808E-01 5.846089517E-02
320 3.911284438E-05 8.747533960E-05 1.607522958E+00 5.610851003E+00 4.060951862E+00 8.401641378E-02 4.686652248E+04 1.499837910E+05 3.686652248E+00 3.904091002E-04 2.474056651E-04 5.369964134E-01 6.294272445E+00 5.685298151E+00 1.456301442E+00 2.014575068E+03 2.382757023E+03 1.063681184E+00 3.982254259E+01 7.247541354E+01 4.311065345E-01 1.138482973E-03 2.186555172E-04 1.161597774E-01 3.186741795E-01 2.869617069E-01
330 1.381334379E-05 1.322421315E-05 7.911041373E-02 4.489006144E+00 1.292832790E+00 1.056216385E-01 5.047081553E+04 1.353678880E+05 4.047081553E+00 5.762249540E-04 2.066841244E-04 4.622242629E-01 5.162287760E+00 2.569851992E+00 1.052475857E+00 2.290827343E+03 5.493327950E+03 2.334542876E+00 3.793023088E+01 5.920727888E+01 5.258721139E-01 1.050432395E-03 3.469024372E-05 1.983727683E-02 1.073118711E-01 1.199466490E-02
340 1.540494357E-05 1.205340050E-05 2.699623817E-02 4.636406448E+00 1.017487108E+00 4.826166641E-02 5.413002458E+04 1.202236105E+05 4.413002458E+00 8.562758452E-04 2.731966533E-04 4.372227724E-01 5.612858702E+00 2.510975585E+00 1.271871380E+00 1.570113516E+03 2.814449920E+03 2.181150541E+00 3.834160334E+01 4.947030560E+01 5.739821851E-01 1.050758609E-03 2.192464840E-05 1.034481589E-02 1.065005124E-01 1.328393084E-02
350 1.438593706E-05 1.058760991E-05 4.093752958E-02 4.462627734E+00 9.280479348E-01 5.699097702E-02 3.486805043E+04 1.241847112E+05 2.486805043E+00 1.308288050E-03 5.396187440E-04 4.871680462E-01 7.821326025E+00 4.340774415E+00 2.220546010E+00 1.911000770E+03 5.559867199E+03 4.288311301E+00 3.774662668E+01 5.833882901E+01 6.225337332E-01 1.061937892E-03 2.296650172E-05 1.136942069E-02 1.055216469E-01 8.179136162E-03
