N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 2.239280000E-04 1.802550000E-04 1.487180000E-04 1.245870000E-04
1.600000000E+01 3.181480000E-04 2.950250000E-04 2.806770000E-04 2.781630000E-04
1.700000000E+01 4.587989000E-03 4.518841000E-03 4.470748000E-03 4.444491000E-03
1.549996187E+01 7.651700000E-05 6.079600000E-05 5.041900000E-05 4.315400000E-05
1.649996187E+01 1.518665000E-03 1.483354000E-03 1.457002000E-03 1.439211000E-03
1.674996808E+01 2.653222000E-03 2.599945000E-03 2.572103000E-03 2.546518000E-03
1.624993176E+01 8.223340000E-04 7.918040000E-04 7.712080000E-04 7.556400000E-04
1.574996808E+01 -1.181000000E-04 -1.262060000E-04 -1.234440000E-04 -1.150260000E-04
1.524993176E+01 1.050130000E-04 8.355700000E-05 6.872300000E-05 5.770100000E-05
