N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 2.836200000E-05 2.440300000E-05 2.201400000E-05 2.047000000E-05
1.600000000E+01 4.895550000E-04 4.196670000E-04 3.744910000E-04 3.439710000E-04
1.700000000E+01 7.311518000E-03 6.829593000E-03 6.526778000E-03 6.348830000E-03
1.549996187E+01 1.276060000E-04 1.087470000E-04 9.670100000E-05 8.865100000E-05
1.649996187E+01 1.920512000E-03 1.709694000E-03 1.568538000E-03 1.471378000E-03
1.674996808E+01 3.789737000E-03 3.459053000E-03 3.234790000E-03 3.082073000E-03
1.624993176E+01 9.682730000E-04 8.429610000E-04 7.602610000E-04 7.049060000E-04
1.574996808E+01 2.490570000E-04 2.121770000E-04 1.884600000E-04 1.725090000E-04
1.524993176E+01 6.432900000E-05 5.516100000E-05 4.937700000E-05 4.552300000E-05
