fname time Tem kT_1 Io Et Ud Iph dev 
01RV 1rv.dat 285.2 40.65 3.303E-022 5.643E-002 2.810E-014 1.374E-006 1.106E-003 
03RV 3rv.dat 287.8 40.29 2.884E-022 5.712E-002 7.640E-002 1.834E-020 1.764E-003 
05RV 5rv.dat 293.5 39.5 3.782E-022 5.916E-002 1.425E-001 2.454E-021 2.541E-003 
07RV 7rv.dat 298 38.91 1.472E-020 8.488E-002 1.763E+000 1.010E-006 1.126E-003 
09RV 9rv.dat 301.2 38.49 4.424E-021 7.808E-002 1.519E+000 2.364E-021 2.278E-003 
11RV 11rv.dat 304.7 38.05 1.746E-021 7.031E-002 7.240E-001 2.251E-006 9.843E-004 
13RV 13rv.dat 310.8 37.3 2.560E-021 7.440E-002 1.326E+000 1.594E-020 1.657E-003 
15RV 15rv.dat 316.5 36.63 9.953E-023 5.260E-002 1.845E-014 8.002E-007 3.709E-003 
17RV 17rv.dat 320.1 36.22 1.061E-022 5.295E-002 1.783E-014 2.475E-006 4.771E-003 
19RV 19rv.dat 325.9 35.58 2.691E-021 7.614E-002 1.800E+000 6.156E-021 8.234E-004 
21RV 21rv.dat 330.8 35.05 1.983E-022 5.775E-002 6.709E-001 1.080E-006 2.601E-003 
23RV 23rv.dat 334.7 34.64 8.061E-021 8.481E-002 2.788E+000 5.072E-021 5.650E-004 
25RV 25rv.dat 342.4 33.86 2.500E-021 7.615E-002 2.387E+000 1.105E-020 6.632E-004 
