T(K) Nd(cm-3) Mu(cm2/Vs)
402 1.85309E+19 9.05423E+1
322 1.06712E+19 1.11134E+2
119 7.96151E+17 2.85314E+2
491 3.28839E+17 3.04582E+2
335 1.48852E+19 1.00778E+2
486 4.08460E+17 2.92627E+2
487 5.48290E+17 2.69857E+2
442 5.57433E+17 2.94608E+2
383 2.98960E+17 4.07398E+2
320 3.44827E+19 8.60699E+1
200 5.63256E+19 9.73051E+1
497 5.16192E+17 2.68409E+2
337 7.05280E+18 1.24888E+2
203 6.71950E+18 1.36753E+2
409 9.92499E+17 2.52933E+2
335 1.23935E+17 6.09226E+2
165 1.59877E+17 6.85296E+2
355 2.49903E+18 1.82036E+2
103 7.14221E+17 2.93017E+2
235 2.19395E+18 1.97525E+2
131 5.85940E+17 3.32027E+2
330 7.42337E+17 3.10229E+2
203 1.51663E+19 1.14397E+2
211 6.89771E+19 9.37576E+1
189 6.90967E+18 1.37317E+2
112 3.68088E+19 1.27998E+2
176 1.48719E+19 1.19356E+2
325 1.71095E+18 2.16341E+2
367 1.72863E+19 9.47012E+1
286 4.83071E+19 8.55784E+1
278 7.93309E+19 8.20934E+1
86 9.19671E+19 1.38250E+2
433 2.73309E+18 1.66635E+2
449 4.72255E+17 3.05470E+2
120 3.45474E+19 1.24673E+2
305 9.39256E+19 7.75925E+1
112 2.44130E+18 1.92324E+2
489 6.19001E+19 6.55378E+1
330 1.93542E+17 5.32787E+2
209 4.05573E+19 9.86966E+1
287 1.06882E+18 2.69928E+2
99 6.94683E+18 1.57950E+2
117 9.26198E+19 1.19804E+2
410 5.11957E+17 3.22095E+2
98 3.04137E+18 1.84759E+2
327 1.29217E+19 1.05165E+2
469 2.07060E+17 3.58652E+2
288 7.65219E+19 8.11363E+1
102 8.74417E+17 2.70319E+2
393 3.07556E+19 8.15052E+1
281 9.26987E+18 1.18757E+2
375 9.33006E+17 2.69947E+2
479 1.72880E+17 3.59672E+2
349 5.84297E+17 3.36693E+2
247 1.29418E+18 2.48150E+2
423 4.86107E+17 3.19709E+2
224 1.27382E+18 2.48959E+2
272 1.39328E+18 2.40026E+2
98 7.19422E+19 1.31577E+2
364 2.96800E+18 1.69127E+2
274 1.33688E+17 6.91157E+2
231 7.94175E+17 3.10823E+2
216 1.83201E+17 6.44982E+2
334 3.23250E+17 4.36494E+2
428 2.32313E+19 8.39433E+1
167 1.84663E+18 2.09429E+2
411 1.18580E+17 4.82859E+2
203 8.66222E+19 9.37279E+1
196 4.96354E+17 3.86321E+2
123 3.05150E+17 4.52829E+2
104 1.36055E+19 1.42816E+2
290 1.79479E+19 1.00392E+2
216 6.32567E+18 1.37772E+2
390 1.11818E+19 1.04730E+2
329 3.07856E+18 1.69332E+2
306 7.97018E+19 7.86630E+1
405 7.59050E+19 6.96666E+1
308 1.37190E+19 1.05124E+2
374 1.50677E+18 2.21608E+2
339 1.10573E+18 2.59227E+2
372 1.06829E+17 5.63328E+2
366 1.71313E+18 2.11320E+2
474 5.19164E+19 6.84722E+1
483 3.37285E+18 1.47417E+2
375 2.04737E+18 1.95259E+2
429 8.53676E+17 2.60340E+2
402 1.78230E+18 2.02231E+2
391 1.08671E+19 1.05582E+2
297 3.32509E+19 8.89022E+1
404 8.47004E+17 2.70471E+2
316 2.67801E+17 4.84954E+2
443 2.64035E+18 1.67413E+2
455 4.27543E+17 3.10870E+2
423 1.61412E+19 9.23035E+1
458 8.34523E+18 1.09571E+2
293 1.72089E+19 1.00976E+2
410 8.32555E+19 6.84305E+1
85 2.57792E+18 1.96094E+2
150 4.66565E+19 1.11242E+2
299 2.75321E+18 1.78772E+2
467 6.38666E+18 1.19016E+2
170 2.45363E+17 5.46263E+2
302 6.09134E+19 8.13901E+1
336 2.02348E+19 9.37774E+1
327 2.20791E+19 9.28022E+1
456 8.94783E+17 2.45512E+2
125 1.45972E+17 6.77985E+2
221 3.20136E+19 9.94107E+1
422 2.72566E+17 3.81913E+2
423 6.20916E+19 7.01340E+1
329 5.95611E+18 1.32643E+2
483 2.41190E+17 3.33463E+2
417 5.05780E+18 1.33860E+2
302 4.13821E+18 1.52627E+2
105 4.31181E+17 3.67108E+2
92 2.62352E+18 1.92992E+2
383 1.17818E+17 5.31101E+2
347 2.75280E+19 8.70905E+1
159 3.00409E+19 1.12890E+2
454 7.65454E+17 2.59878E+2
406 1.03824E+17 5.04160E+2
456 1.22022E+17 4.12148E+2
385 1.28376E+17 5.15955E+2
439 4.69519E+19 7.21342E+1
337 3.33329E+18 1.63545E+2
136 7.42614E+18 1.44169E+2
202 2.76921E+17 5.22694E+2
223 2.12250E+19 1.05020E+2
88 5.17523E+18 1.70628E+2
495 2.91936E+19 7.52344E+1
294 1.71496E+19 1.00944E+2
389 1.81023E+17 4.67034E+2
486 1.49305E+18 1.96633E+2
247 9.07353E+17 2.92412E+2
256 3.12358E+19 9.46300E+1
103 1.36897E+17 6.62967E+2
460 9.10513E+19 6.40101E+1
85 1.24553E+17 6.56549E+2
172 3.91832E+18 1.62137E+2
293 3.06658E+18 1.71549E+2
266 1.96871E+18 2.06524E+2
213 5.20176E+19 9.56132E+1
218 1.12003E+18 2.63497E+2
396 2.88060E+18 1.67870E+2
209 9.05292E+18 1.26307E+2
334 2.33581E+19 9.11386E+1
393 1.02629E+17 5.29183E+2
109 6.24982E+19 1.25659E+2
330 2.24285E+19 9.22280E+1
408 1.31001E+18 2.27312E+2
380 2.64289E+19 8.50856E+1
209 9.48899E+17 2.83482E+2
232 1.84227E+17 6.37192E+2
483 3.45656E+17 3.07636E+2
391 7.45818E+18 1.18896E+2
332 3.65811E+18 1.58118E+2
304 2.10028E+18 1.99620E+2
441 7.96333E+18 1.12549E+2
446 1.39016E+18 2.12825E+2
489 5.21667E+18 1.25519E+2
119 1.29087E+18 2.35823E+2
103 3.42675E+17 4.08039E+2
213 2.69878E+17 5.30571E+2
375 8.31066E+18 1.15874E+2
344 1.02377E+19 1.10799E+2
78 2.44686E+18 2.01220E+2
247 1.85530E+19 1.04370E+2
300 7.36154E+19 7.99659E+1
136 4.99780E+18 1.56517E+2
442 5.93424E+18 1.24314E+2
394 1.32885E+17 4.97278E+2
346 3.64123E+19 8.29136E+1
160 2.24859E+18 1.94692E+2
166 1.96956E+18 2.04356E+2
457 4.93430E+18 1.31353E+2
285 3.84230E+19 8.82982E+1
248 3.36071E+17 4.72308E+2
278 9.33495E+19 8.10550E+1
128 7.60802E+19 1.16012E+2
278 3.64978E+19 8.98539E+1
148 5.40718E+19 1.10913E+2
178 3.45930E+19 1.06771E+2
343 2.91044E+19 8.64980E+1
206 6.50258E+17 3.39463E+2
406 4.96275E+18 1.35707E+2
219 8.98352E+18 1.25340E+2
98 2.77902E+17 4.47489E+2
210 1.53920E+18 2.28195E+2
419 1.99390E+19 8.77350E+1
403 1.15246E+19 1.02921E+2
174 1.23295E+18 2.47444E+2
291 1.23583E+19 1.09287E+2
422 1.68085E+18 2.03138E+2
257 2.99569E+18 1.74364E+2
228 4.68584E+19 9.38961E+1
265 5.05665E+17 3.85474E+2
238 1.86925E+19 1.05353E+2
338 4.29044E+18 1.48477E+2
239 7.25913E+17 3.24990E+2
473 2.34365E+17 3.45105E+2
253 2.31321E+17 5.62132E+2
260 1.07077E+17 7.78634E+2
400 7.14539E+19 7.05685E+1
308 1.56651E+17 6.04499E+2
432 1.79540E+17 4.12988E+2
457 4.62793E+18 1.34418E+2
295 1.41038E+18 2.37768E+2
463 6.56531E+19 6.67330E+1
293 7.98261E+17 3.07776E+2
478 4.50069E+17 2.90354E+2
319 1.07348E+17 6.67005E+2
446 2.35181E+18 1.74408E+2
297 3.55410E+19 8.79896E+1
172 1.07179E+18 2.62694E+2
278 5.41051E+18 1.40197E+2
255 4.35098E+19 9.06851E+1
399 3.04907E+17 3.90566E+2
356 5.62071E+18 1.33531E+2
226 1.97649E+17 6.18371E+2
265 2.42429E+19 9.73642E+1
428 2.98991E+18 1.61700E+2
458 7.32912E+19 6.60243E+1
173 1.26877E+18 2.44233E+2
207 7.67563E+19 9.37205E+1
177 8.35844E+19 9.99665E+1
300 7.88093E+19 7.94961E+1
344 1.30090E+17 5.83301E+2
172 4.35247E+17 4.05201E+2
468 4.63952E+17 2.95109E+2
117 2.45273E+19 1.29320E+2
305 5.98333E+17 3.48426E+2
272 1.85029E+18 2.11963E+2
121 3.21630E+18 1.77294E+2
491 4.55292E+18 1.31426E+2
327 4.29919E+19 8.25034E+1
214 4.01361E+18 1.58397E+2
247 2.49141E+18 1.87631E+2
94 5.21070E+18 1.67597E+2
359 4.07331E+17 3.82862E+2
499 9.26925E+18 1.02667E+2
212 2.10469E+18 2.00534E+2
118 2.50833E+19 1.28566E+2
388 9.90766E+17 2.59548E+2
148 4.23246E+17 3.98919E+2
498 7.71055E+17 2.38926E+2
168 4.63271E+17 3.90727E+2
95 1.28765E+17 6.68752E+2
271 2.82354E+17 5.03984E+2
208 3.60947E+19 1.00192E+2
417 1.24917E+18 2.29223E+2
329 4.49026E+17 3.85129E+2
373 5.57121E+17 3.31913E+2
184 4.17492E+19 1.03331E+2
303 3.75032E+19 8.67202E+1
485 5.59450E+19 6.68771E+1
495 1.91175E+18 1.78342E+2
358 6.53027E+18 1.26669E+2
99 1.41765E+17 6.41539E+2
249 4.70625E+19 9.06788E+1
317 3.18108E+17 4.51508E+2
173 4.49397E+19 1.05263E+2
301 1.28899E+19 1.07336E+2
196 1.86842E+19 1.11486E+2
299 8.53248E+19 7.89842E+1
425 2.69128E+19 8.14343E+1
79 1.59623E+19 1.55771E+2
416 1.14865E+19 1.02057E+2
203 5.66069E+19 9.67575E+1
146 8.39980E+19 1.09032E+2
309 1.22065E+17 6.58526E+2
111 1.04097E+19 1.44055E+2
495 3.92221E+17 2.88982E+2
397 6.00926E+17 3.10846E+2
176 8.70713E+17 2.89442E+2
288 1.15594E+18 2.60408E+2
288 3.02803E+19 9.12618E+1
154 3.75877E+17 4.27911E+2
471 1.86792E+17 3.63842E+2
237 1.67309E+18 2.21301E+2
275 9.92608E+17 2.79933E+2
359 3.91119E+19 8.07743E+1
458 8.18254E+18 1.10278E+2
491 3.06660E+18 1.51297E+2
93 4.09457E+18 1.75192E+2
492 1.79963E+18 1.82799E+2
164 1.58990E+17 6.86541E+2
416 2.19513E+19 8.59372E+1
251 1.64240E+18 2.23315E+2
356 1.85440E+17 5.07313E+2
475 2.22802E+18 1.72794E+2
158 1.01674E+17 8.72518E+2
177 6.66349E+19 1.01207E+2
291 2.74249E+19 9.24398E+1
191 9.87410E+19 9.56898E+1
196 2.23542E+17 5.83161E+2
418 3.04420E+17 3.73798E+2
264 1.52679E+18 2.30581E+2
189 9.07938E+17 2.86331E+2
171 3.04135E+18 1.75525E+2
99 2.28433E+17 4.95810E+2
350 5.40929E+17 3.46975E+2
322 1.45269E+19 1.02439E+2
390 1.15928E+19 1.03691E+2
234 1.01457E+17 8.36654E+2
81 1.01929E+19 1.60170E+2
468 5.70419E+18 1.23681E+2
498 1.85277E+19 8.38816E+1
188 6.89328E+17 3.26318E+2
466 1.57622E+19 8.98744E+1
222 2.64167E+19 1.01701E+2
403 2.84636E+17 3.95052E+2
395 5.93755E+19 7.28256E+1
216 1.03639E+19 1.21554E+2
214 7.37108E+17 3.20475E+2
480 3.33183E+17 3.12231E+2
358 1.18627E+19 1.05252E+2
147 4.46446E+19 1.12739E+2
373 3.23334E+18 1.62684E+2
220 8.95082E+19 9.02603E+1
369 2.35411E+18 1.85135E+2
89 2.49001E+18 1.96346E+2
241 2.19821E+17 5.81664E+2
393 3.38048E+17 3.82951E+2
185 7.59338E+18 1.34700E+2
171 9.57252E+17 2.76209E+2
462 9.83075E+18 1.03627E+2
269 5.82751E+19 8.58858E+1
173 6.25896E+18 1.42696E+2
113 3.72028E+19 1.27352E+2
398 9.27081E+17 2.63385E+2
468 1.00150E+19 1.02598E+2
252 7.70942E+17 3.15925E+2
343 2.94149E+17 4.45316E+2
308 1.20595E+19 1.08588E+2
445 1.55808E+18 2.04169E+2
