fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
SC2973_1.9E+11 1527555323 0 555 8.511735924E+16 1.000000000E+02 2.304770991E-04 6.245593823E-01 2.531352195E+02 1.293649256E-03 
SC312V1_2.6E+11 1527555323 0 555 1.117835122E+17 1.000000000E+02 2.656494426E-04 6.437587097E-01 4.871793506E+02 1.339609484E-03 
SC312V2_2.6E+11 1527555323 0 555 1.027205012E+17 1.000000000E+02 2.626306971E-04 6.466380532E-01 5.374413652E+02 1.323683908E-03 
SC312V3_2.6E+11 1527555323 0 555 1.155027777E+17 1.000000000E+02 2.667685815E-04 6.426247835E-01 4.687008752E+02 1.283327114E-03 
SC312V4_2.6E+11 1527555323 0 555 1.210778040E+17 1.000000000E+02 2.686751719E-04 6.428022924E-01 4.715466009E+02 1.227387144E-03 
SC312V5_2.6E+11 1527555323 0 555 1.196977151E+17 1.000000000E+02 2.655554533E-04 6.424363458E-01 4.656987352E+02 1.198092374E-03 
SC312V6_2.6E+11 1527555323 0 555 1.270643594E+17 1.000000000E+02 2.699978996E-04 6.421253746E-01 4.607864168E+02 1.236783525E-03 
SC3132V1_8.9E+12 1527555323 0 555 2.682089418E+18 1.000000000E+02 2.850449039E-04 6.463419784E-01 5.320424816E+02 6.100333923E-03 
SC320V1_2.1E+12 1527555323 0 555 1.060410873E+17 1.000000000E+02 2.495826099E-04 6.247968321E-01 2.551932219E+02 1.275354157E-03 
SC320V2_2.1E+12 1527555323 0 555 1.133714245E+17 1.000000000E+02 2.617520595E-04 6.261987715E-01 2.676895631E+02 1.249753243E-03 
SC320V3_2.1E+12 1527555323 0 555 1.169987160E+17 1.000000000E+02 2.621464535E-04 6.266682086E-01 2.720092425E+02 2.054409566E-03 
SC320V4_2.1E+12 1527555323 0 555 9.172727189E+16 1.000000000E+02 2.249280607E-04 6.242011189E-01 2.500614822E+02 1.231842264E-03 
SC320V5_2.1E+12 1527555323 0 555 1.209637438E+17 1.000000000E+02 2.624239139E-04 6.272725892E-01 2.776734507E+02 1.751898530E-03 
SC3252V1_2.0E+11 1527555323 0 555 9.325297042E+16 1.000000000E+02 2.425866405E-04 6.436318117E-01 4.850757368E+02 1.253671713E-03 
SC328V1_1.9E+12 1527555323 0 555 9.886810152E+16 1.000000000E+02 2.562460564E-04 6.255441252E-01 2.617799154E+02 1.243031267E-03 
