fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
SC3502V5_1.9E+13 1395829217 0 555 4.187200023E+18 9.999999829E+01 3.177204098E-04 6.448587627E-01 5.058017521E+02 1.493937583E-03 
SC3502V6_1.9E+13 1395829217 0 555 4.308257108E+18 9.999999656E+01 3.199095642E-04 6.411992312E-01 4.464612402E+02 1.709897451E-03 
SC3502V7_1.9E+13 1395829217 0 555 4.099998551E+18 1.000000000E+02 3.165443669E-04 6.390743392E-01 4.152548816E+02 1.459750098E-03 
SC3502V8_1.9E+13 1395829217 0 555 4.363910564E+18 9.999999969E+01 3.156476737E-04 6.450346854E-01 5.088452103E+02 1.653789685E-03 
SC3502V9_1.9E+13 1395829217 0 555 2.770460383E+18 9.999999962E+01 3.023372880E-04 6.422705721E-01 4.630735754E+02 1.234515656E-03 
SC3503_1.4E+13 1395829217 0 555 4.187993531E+18 9.999999968E+01 3.217808061E-04 6.514576597E-01 6.334436988E+02 2.091771976E-03 
SC3521V1_4.2E+13 1395829218 0 555 8.869602507E+18 9.999998414E+01 3.429012135E-04 6.555295038E-01 7.277979275E+02 1.575281055E-03 
SC3521V2_4.2E+13 1395829218 0 555 7.668350149E+18 9.999999884E+01 3.331324104E-04 6.529441170E-01 6.663800833E+02 1.927917641E-03 
SC3521V3_4.2E+13 1395829218 0 555 7.526818088E+18 9.999999863E+01 3.403441687E-04 6.502157374E-01 6.071772933E+02 1.819346295E-03 
SC3521V4_4.2E+13 1395829218 0 555 8.497396559E+18 9.999999899E+01 3.393748174E-04 6.551405165E-01 7.182076536E+02 1.657736239E-03 
SC3521V5_4.2E+13 1395829218 0 555 7.791452840E+18 9.999999727E+01 3.399660856E-04 6.466838064E-01 5.382805410E+02 2.524222368E-03 
SC3521V6_4.2E+13 1395829218 0 555 7.939938102E+18 9.999999044E+01 3.383878084E-04 6.471054287E-01 5.460756122E+02 2.247009550E-03 
SC3521V7_4.2E+13 1395829218 0 555 9.038302771E+18 9.999999921E+01 3.455303868E-04 6.560805128E-01 7.416023427E+02 1.701902153E-03 
SC3521V8_4.2E+13 1395829218 0 555 8.141267038E+18 9.999998076E+01 3.331211484E-04 6.469582451E-01 5.433416976E+02 1.774942854E-03 
SC3753V1_1.3E+12 1395829218 0 555 5.648073189E+17 9.999999755E+01 2.415486095E-04 6.468532740E-01 5.414002405E+02 1.409275599E-03 
SC4023V1_3.7E+12 1527404731 0 555 1.966503463E+18 9.999999008E+01 2.481944032E-04 6.512903931E-01 6.298408892E+02 2.153170231E-03 
SC4023V2_7.2E+12 1399931224 0 555 1.000000000E+20 5.257953460E-08 1.249622149E-03 6.525147583E-01 6.566944331E+02 3.489652147E-03 
SC4023V3_7.2E+12 1398898529 0 555 2.443392073E+18 9.999996090E+01 2.863144822E-04 6.507861601E-01 6.191035758E+02 1.673206748E-03 
SC4023V4_7.2E+12 1398898529 0 555 2.817350189E+18 9.999999219E+01 2.861976240E-04 6.511898471E-01 6.276850664E+02 1.389379895E-03 
SC4023V5_3.7E+12 1527406998 0 555 1.000000000E+20 3.544937818E-08 1.309461180E-03 6.546663408E-01 7.066878559E+02 3.983479441E-03 
