fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B107FE100_T 1317912115 0 555 5.427270849E-07 2.850000000E-01 1.051821589E-22 0.000000000E+00 2.200000000E+00 7.297344253E-05 
B107FE101_T 1317912115 0 555 5.568958708E-07 2.850000000E-01 9.378512338E-23 0.000000000E+00 2.200000000E+00 3.782662626E-04 
B107FE102_T 1317912115 0 555 6.076567400E-07 2.850000000E-01 6.603144779E-23 0.000000000E+00 2.200000000E+00 5.814319131E-04 
B107FE103_T 1317912115 0 555 6.622049169E-07 2.850000000E-01 5.325392465E-23 0.000000000E+00 2.200000000E+00 5.867467780E-04 
B107FE140_T 1317912115 0 555 5.440394960E-07 2.850000000E-01 1.045064976E-22 0.000000000E+00 2.200000000E+00 8.036857226E-05 
B107FE141_T 1317912115 0 555 5.667175078E-07 2.850000000E-01 9.576320333E-23 0.000000000E+00 2.200000000E+00 3.935352272E-04 
B107FE142_T 1317912115 0 555 6.183860963E-07 2.850000000E-01 6.287683763E-23 0.000000000E+00 2.200000000E+00 7.100152365E-04 
B107FE210_T 1317912115 0 555 5.453743573E-07 2.850000000E-01 1.031927189E-22 0.000000000E+00 2.200000000E+00 8.808052116E-05 
B107FE211_T 1317912115 0 555 5.769602506E-07 2.850000000E-01 9.285903262E-23 0.000000000E+00 2.200000000E+00 2.265015563E-04 
B107FE212_T 1317912115 0 555 6.225084648E-07 2.850000000E-01 5.437254363E-23 0.000000000E+00 2.200000000E+00 5.856668738E-04 
B107FE310_T 1317912115 0 555 5.471288869E-07 2.850000000E-01 1.011537947E-22 0.000000000E+00 2.200000000E+00 1.392759203E-04 
B107FE311_T 1317912115 0 555 5.795728765E-07 2.850000000E-01 7.812336802E-23 0.000000000E+00 2.200000000E+00 2.909848230E-04 
B107FE312_T 1317912115 0 555 6.289697435E-07 2.850000000E-01 4.928831808E-23 0.000000000E+00 2.200000000E+00 5.044020277E-04 
B107FE460_T 1317912115 0 555 5.492682411E-07 2.850000000E-01 9.864358549E-23 0.000000000E+00 2.200000000E+00 2.131273596E-04 
B107FE461_T 1317912115 0 555 5.860791796E-07 2.850000000E-01 6.932819481E-23 0.000000000E+00 2.200000000E+00 3.076965894E-04 
B107FE462_T 1317912115 0 555 6.376830532E-07 2.850000000E-01 4.669004044E-23 0.000000000E+00 2.200000000E+00 4.265505666E-04 
B107FE680_T 1317912115 0 555 5.520354817E-07 2.850000000E-01 9.573557303E-23 0.000000000E+00 2.200000000E+00 3.194241676E-04 
B107FE681_T 1317912115 0 555 5.978519895E-07 2.850000000E-01 6.883570388E-23 0.000000000E+00 2.200000000E+00 5.054774527E-04 
B107FE682_T 1317912115 0 555 6.493241376E-07 2.850000000E-01 4.808767361E-23 0.000000000E+00 2.200000000E+00 6.397444946E-04 
