Method Nemenyi Holm Shaffer
PSO 2.533920629E-09 2.144086686E-09 1.992242371E-09
GOTLBO 4.909969298E-08 3.830855166E-08 3.615032340E-08
CWOA 4.086178879E-06 2.514571618E-06 2.514571618E-06
NNA 7.803158102E-06 4.630445455E-06 4.414255607E-06
ISCA 1.157209666E-05 6.485460766E-06 6.485460766E-06
WW 4.039868548E-04 2.086525514E-04 2.086525514E-04
MABC 5.249598206E-02 2.019076233E-02 2.019076233E-02
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
