Method Nemenyi Holm Shaffer
WW 1.043823024E-04 5.620585514E-05 5.505879687E-05
PSO 4.696135919E-01 1.548176677E-01 1.548176677E-01
CWOA 1.000000000E+00 5.844820093E-01 5.844820093E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
NNA 1.000000000E+00 1.000000000E+00 1.000000000E+00
