Method Nemenyi Holm Shaffer
GOTLBO 1.108763607E-04 6.213949886E-05 6.213949886E-05
PSO 2.858201008E-04 1.507622510E-04 1.507622510E-04
ISCA 9.921972528E-04 4.361306606E-04 4.361306606E-04
NNA 1.235300347E-03 5.294144344E-04 5.294144344E-04
CWOA 2.116146987E-03 8.604114123E-04 8.604114123E-04
WW 1.236722562E-01 4.348914505E-02 4.348914505E-02
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
