Method Nemenyi Holm Shaffer
PSO 5.486396188E-02 2.652762992E-02 2.592472924E-02
CWOA 3.478439356E-01 1.567208941E-01 1.528984332E-01
WW 8.345968001E-01 3.485129495E-01 3.485129495E-01
MABC 1.000000000E+00 5.889593319E-01 5.889593319E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00
NNA 1.000000000E+00 1.000000000E+00 1.000000000E+00
