Method Nemenyi Holm Shaffer
GOTLBO 4.202860282E-12 3.787192782E-12 3.602451670E-12
CWOA 5.980993478E-12 5.192291042E-12 5.126565839E-12
ISCA 1.171951425E-11 1.004529793E-11 1.004529793E-11
DE 1.452815646E-11 1.229305546E-11 1.069655475E-11
NDE 4.170530588E-11 3.437250484E-11 3.070610433E-11
MABC 3.099609458E-10 2.384314968E-10 2.282130040E-10
NNA 1.235202451E-08 8.551401587E-09 7.872718921E-09
PSO 1.471496147E-08 1.002557815E-08 9.378766652E-09
WW 2.391694625E-07 1.524376794E-07 1.524376794E-07
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
