Method Nemenyi Holm Shaffer
WW 7.284449744E-03 3.121907033E-03 3.121907033E-03
CWOA 4.017278344E-02 1.633398887E-02 1.633398887E-02
NNA 6.826796327E-02 2.625690895E-02 2.625690895E-02
ISCA 8.835040400E-02 3.203915749E-02 3.106827393E-02
GOTLBO 9.585932659E-01 3.054857661E-01 3.054857661E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
PSO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
