Method Nemenyi Holm Shaffer
CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 2.990496739E-12 2.793321130E-12 2.563282919E-12
GOTLBO 5.124256575E-11 4.617461968E-11 4.392219921E-11
ISCA 5.433813399E-10 4.597842107E-10 4.000719755E-10
WW 5.605326470E-08 4.250192598E-08 4.126998610E-08
PSO 1.728678665E-07 1.272763412E-07 1.272763412E-07
NNA 2.868871620E-07 2.080720076E-07 2.080720076E-07
DE 4.995102335E-06 3.019017895E-06 3.019017895E-06
NDE 4.794004250E-04 2.423342808E-04 2.423342808E-04
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
