Method Nemenyi Holm Shaffer
WW 1.294928733E-07 8.395691786E-08 8.253391925E-08
PSO 5.960596499E-03 2.685543478E-03 2.620042417E-03
CWOA 5.486396188E-02 2.049862312E-02 2.049862312E-02
NNA 1.582639278E-01 5.739241336E-02 5.565324932E-02
GOTLBO 1.000000000E+00 9.995069769E-01 9.995069769E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00
