Method Nemenyi Holm Shaffer
GOTLBO 9.092726572E-12 8.293365994E-12 7.793765633E-12
MABC 1.590216847E-11 1.415467743E-11 1.363043012E-11
CWOA 8.823985986E-11 7.466449681E-11 6.496780891E-11
WW 1.484094625E-09 1.190537446E-09 1.092685054E-09
ISCA 2.475646355E-09 1.931548255E-09 1.822728635E-09
NNA 1.314889087E-08 9.103078291E-09 8.380611760E-09
DE 2.293141188E-08 1.562359930E-08 1.461562515E-08
PSO 8.874551649E-08 5.753830190E-08 5.656307644E-08
NDE 5.681886724E-04 2.997039151E-04 2.997039151E-04
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
