Method Nemenyi Holm Shaffer
CWOA 6.395686186E-06 3.795242352E-06 3.584395555E-06
NNA 2.263157786E-04 1.218623423E-04 1.193753557E-04
PSO 4.277637513E-04 2.209329265E-04 2.209329265E-04
WW 1.534599986E-03 7.082769165E-04 7.082769165E-04
ISCA 6.826796327E-02 2.700710635E-02 2.700710635E-02
GOTLBO 2.554769000E-01 9.545290771E-02 9.545290771E-02
MABC 8.946826427E-01 3.047819991E-01 3.047819991E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
