Method Nemenyi Holm Shaffer
WW 2.746245897E-09 2.233210949E-09 2.021961265E-09
PSO 4.039868548E-04 2.042131354E-04 2.042131354E-04
CWOA 5.120809051E-03 2.363450331E-03 2.363450331E-03
NNA 1.748608448E-02 6.917571882E-03 6.917571882E-03
GOTLBO 9.585932659E-01 2.949517741E-01 2.949517741E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00
