Method Nemenyi Holm Shaffer
MABC 2.970290680E-12 2.905009566E-12 2.545963440E-12
GOTLBO 4.372591178E-11 3.747935295E-11 3.747935295E-11
CWOA 3.572835361E-10 2.905382601E-10 2.630549112E-10
WW 4.875519988E-09 3.696822848E-09 3.589668562E-09
DE 5.202736908E-09 3.869217835E-09 3.830586515E-09
ISCA 7.839647820E-09 5.599748443E-09 4.996698610E-09
NNA 3.703338214E-08 2.441761460E-08 2.360369411E-08
PSO 1.452505483E-07 9.098111264E-08 8.938495277E-08
NDE 1.896940106E-04 1.083965775E-04 1.063120279E-04
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
