Method Nemenyi Holm Shaffer
WW 6.213724645E-03 5.804028514E-03 5.326049696E-03
CWOA 1.081200888E-02 9.505062747E-03 9.267436179E-03
PSO 1.205403327E-02 1.046449042E-02 1.033202852E-02
NNA 1.219983417E-01 9.652616044E-02 8.982295485E-02
GOTLBO 1.467141135E-01 1.128570104E-01 1.080202814E-01
ISCA 2.511189531E-01 1.848897787E-01 1.848897787E-01
MABC 1.000000000E+00 8.503456279E-01 8.085253511E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
