Method Nemenyi Holm Shaffer
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
NNA 1.616484724E-12 1.598721155E-12 1.385558335E-12
ISCA 3.556266392E-12 3.399946991E-12 3.048228336E-12
WW 7.152944903E-12 6.602718372E-12 6.131095631E-12
CWOA 2.318039094E-10 1.910471781E-10 1.706688124E-10
GOTLBO 2.337679383E-09 1.849592479E-09 1.721148557E-09
MABC 3.587794311E-07 2.207873422E-07 2.207873422E-07
DE 1.177582006E-04 6.858444650E-05 6.599635418E-05
NDE 2.270591035E-01 9.481588939E-02 9.481588939E-02
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
