Method Nemenyi Holm Shaffer
ISCA 1.293187779E-12 1.293187779E-12 1.293187779E-12
GOTLBO 2.109512565E-11 1.970423824E-11 1.808153627E-11
NNA 2.009694633E-10 1.766764512E-10 1.722595400E-10
NDE 1.988841980E-09 1.661010884E-09 1.464312227E-09
MABC 2.636163288E-09 2.172662050E-09 1.940911432E-09
WW 7.839647820E-09 6.116648299E-09 5.772048395E-09
CWOA 2.996162518E-08 2.205965810E-08 2.205965810E-08
PSO 2.741981611E-07 1.868163295E-07 1.747636631E-07
DE 4.369699307E-06 2.689045727E-06 2.689045727E-06
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
