Method Nemenyi Holm Shaffer
WW 9.100000000E-14 9.100000000E-14 9.100000000E-14
NDE 1.171951425E-12 1.159072838E-12 1.004529793E-12
DE 1.737721078E-12 1.642241898E-12 1.489475210E-12
CWOA 3.839151219E-12 3.501643420E-12 3.290701045E-12
GOTLBO 5.415223825E-12 4.760636330E-12 4.641620421E-12
NNA 3.245699265E-10 2.461024717E-10 2.389690668E-10
ISCA 3.834099704E-10 2.865041537E-10 2.822908574E-10
MABC 5.836116035E-09 4.104521167E-09 3.719722308E-09
PSO 1.500379496E-07 9.892612063E-08 9.562858327E-08
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
