Method Nemenyi Holm Shaffer
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 1.858957432E-12 1.756816914E-12 1.593392085E-12
GOTLBO 2.162048318E-12 2.000621890E-12 1.853184273E-12
ISCA 2.162048318E-12 2.000621890E-12 1.853184273E-12
NNA 1.171951425E-11 9.787726185E-12 8.628653347E-12
WW 1.277022932E-11 1.052491427E-11 9.402256751E-12
CWOA 1.195390453E-10 8.932588003E-11 8.801226414E-11
DE 4.113549501E-10 2.938249644E-10 2.780922159E-10
NDE 1.036449593E-09 7.289315818E-10 6.605942460E-10
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
