Method Nemenyi Holm Shaffer
GOTLBO 6.814979871E-05 3.894274212E-05 3.819384323E-05
PSO 1.788052470E-04 9.824464122E-05 9.431485557E-05
ISCA 6.359023928E-04 3.074692888E-04 3.004813505E-04
NNA 7.951899356E-04 3.670107395E-04 3.670107395E-04
CWOA 1.377218420E-03 5.751021973E-04 5.751021973E-04
WW 8.835040400E-02 3.398092461E-02 3.398092461E-02
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
