Method Nemenyi Holm Shaffer
PSO 1.619579204E-03 9.254738306E-04 9.076762569E-04
CWOA 1.589937625E-02 8.386484176E-03 8.386484176E-03
WW 4.804282882E-02 2.375744282E-02 2.375744282E-02
MABC 1.046418400E-01 4.944614419E-02 4.944614419E-02
NNA 4.696135919E-01 2.012629680E-01 2.012629680E-01
GOTLBO 1.000000000E+00 5.282471113E-01 5.282471113E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00
