Method Nemenyi Holm Shaffer
GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 1.616484724E-12 1.509903313E-12 1.385558335E-12
WW 2.324282766E-09 1.992242371E-09 1.992242371E-09
ISCA 6.205527248E-08 4.705289891E-08 4.568904677E-08
NNA 8.382713945E-08 6.171888289E-08 6.171888289E-08
CWOA 1.364025777E-07 9.593148320E-08 8.693790665E-08
DE 4.141165930E-07 2.730439075E-07 2.639424439E-07
NDE 6.725893217E-04 3.325991151E-04 3.325991151E-04
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
