Method Nemenyi Holm Shaffer
WW 9.135615456E-05 9.135615456E-05 9.135615456E-05
CWOA 1.785926623E-04 1.766301056E-04 1.530794248E-04
PSO 2.037938217E-04 1.993148366E-04 1.746804186E-04
NNA 3.510801186E-03 3.395060488E-03 3.009258160E-03
GOTLBO 4.420511928E-03 4.226203712E-03 3.789010224E-03
ISCA 8.681022311E-03 7.822459664E-03 7.440876266E-03
MABC 6.902834485E-02 5.765004624E-02 5.082306708E-02
DE 3.545815397E-01 2.532725283E-01 2.259970253E-01
NDE 1.000000000E+00 9.209450819E-01 9.047881506E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
