Method Nemenyi Holm Shaffer
GOTLBO 4.804282882E-02 1.900595426E-02 1.900595426E-02
PSO 9.617745323E-02 3.593443308E-02 3.593443308E-02
ISCA 2.361932626E-01 8.046144109E-02 8.046144109E-02
NNA 2.761882552E-01 9.105107314E-02 9.105107314E-02
CWOA 4.045957497E-01 1.289371070E-01 1.289371070E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
WW 1.000000000E+00 1.000000000E+00 1.000000000E+00
