Method Nemenyi Holm Shaffer
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
ISCA 1.737721078E-12 1.680433570E-12 1.489475210E-12
GOTLBO 2.885829353E-10 2.632130069E-10 2.473568017E-10
MABC 1.559160134E-09 1.302155717E-09 1.147953066E-09
DE 7.703408467E-08 5.333128938E-08 4.909864737E-08
NNA 9.719029537E-08 6.621756388E-08 6.194546298E-08
CWOA 3.139038753E-07 1.966211087E-07 1.931716156E-07
WW 3.766473662E-07 2.317829946E-07 2.317829946E-07
NDE 1.312347206E-02 5.335917210E-03 5.335917210E-03
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
