Method Nemenyi Holm Shaffer
PSO 6.812724980E-07 4.342176361E-07 4.342176361E-07
GOTLBO 8.903449547E-06 5.087685455E-06 4.989845350E-06
CWOA 4.039868548E-04 2.086525514E-04 2.086525514E-04
NNA 7.112951817E-04 3.439229450E-04 3.361065144E-04
ISCA 9.921972528E-04 4.579371936E-04 4.579371936E-04
WW 1.922072498E-02 7.603803289E-03 7.603803289E-03
MABC 9.585932659E-01 3.160197580E-01 3.160197580E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
