Method Nemenyi Holm Shaffer
PSO 3.839151219E-12 3.628208844E-12 3.290701045E-12
NNA 8.702242185E-05 5.163967890E-05 4.877080785E-05
ISCA 4.528778048E-04 2.438572795E-04 2.388806003E-04
WW 7.112951817E-04 3.673722367E-04 3.673722367E-04
CWOA 5.960596499E-03 2.947547719E-03 2.947547719E-03
GOTLBO 2.318562279E-02 1.095584373E-02 1.095584373E-02
MABC 3.752473817E-01 1.484495136E-01 1.484495136E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
