Method Nemenyi Holm Shaffer
PSO 1.157209666E-05 6.485460766E-06 6.485460766E-06
GOTLBO 1.250499363E-04 6.733458110E-05 6.596040598E-05
CWOA 3.964937601E-03 1.742829715E-03 1.742829715E-03
NNA 6.591153928E-03 2.824780255E-03 2.824780255E-03
ISCA 8.882975781E-03 3.709374502E-03 3.709374502E-03
WW 1.236722562E-01 4.484818084E-02 4.348914505E-02
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
