Method Nemenyi Holm Shaffer
PSO 2.696732929E-04 1.570624673E-04 1.511355817E-04
CWOA 3.223208283E-03 1.806413434E-03 1.806413434E-03
WW 1.080873330E-02 5.820087160E-03 5.701309871E-03
MABC 2.544431870E-02 1.314157120E-02 1.314157120E-02
NNA 1.343406458E-01 6.200337500E-02 6.200337500E-02
GOTLBO 4.200365731E-01 1.846314607E-01 1.846314607E-01
ISCA 1.000000000E+00 5.674608678E-01 5.674608678E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
