Method Nemenyi Holm Shaffer
WW 4.909971318E-08 3.237343726E-08 3.129432269E-08
CWOA 6.812724980E-07 4.042715922E-07 3.818120593E-07
NNA 1.575072729E-06 9.173500510E-07 8.827330680E-07
ISCA 2.377600171E-06 1.332501195E-06 1.332501195E-06
GOTLBO 1.250499363E-04 6.321205573E-05 6.321205573E-05
PSO 2.111600652E-02 8.817673054E-03 8.817673054E-03
MABC 1.000000000E+00 6.250757036E-01 6.250757036E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
