Method Nemenyi Holm Shaffer
MABC 5.475842002E-12 5.114797474E-12 4.693578859E-12
GOTLBO 2.485345263E-11 2.157607426E-11 2.130295940E-11
CWOA 2.161644197E-10 1.805329219E-10 1.591540233E-10
WW 3.178231234E-09 2.444793257E-09 2.340016403E-09
ISCA 5.177923867E-09 3.869217835E-09 3.812317573E-09
DE 9.036533521E-09 6.355364235E-09 5.759548838E-09
NNA 2.550566380E-08 1.709720321E-08 1.625635715E-08
PSO 1.215264325E-07 7.745640751E-08 7.745640751E-08
NDE 2.858201008E-04 1.570440114E-04 1.507622510E-04
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
