Method Nemenyi Holm Shaffer
GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 1.333599897E-11 1.231015290E-11 1.143085626E-11
WW 5.177923867E-09 4.267519671E-09 3.812317573E-09
DE 1.614522918E-07 1.277424726E-07 1.188714676E-07
CWOA 4.280065815E-07 2.963122487E-07 2.727954036E-07
NNA 6.579472700E-07 4.121208175E-07 4.048906277E-07
ISCA 7.782061764E-07 4.788961085E-07 4.788961085E-07
NDE 1.788052471E-04 9.824464122E-05 9.431485559E-05
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
