Method Nemenyi Holm Shaffer
GOTLBO 3.822986372E-11 3.570921336E-11 3.276845462E-11
NNA 5.540501391E-11 5.114308976E-11 4.749001192E-11
CWOA 3.573037421E-10 3.219660094E-10 3.062603504E-10
PSO 7.393679891E-09 5.849944529E-09 5.443698381E-09
ISCA 7.722998241E-09 6.025635990E-09 5.686163540E-09
WW 1.487178070E-08 1.127640514E-08 1.094955282E-08
MABC 1.015325985E-05 5.690288486E-06 5.690288486E-06
DE 2.263157786E-04 1.168883691E-04 1.168883691E-04
NDE 1.000000000E+00 4.488655114E-01 4.488655114E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
