Method Nemenyi Holm Shaffer
WW 1.434630192E-12 1.340039191E-12 1.229683022E-12
CWOA 4.113549501E-10 3.661511094E-10 3.525899572E-10
NNA 8.181433309E-10 7.192468843E-10 7.012657122E-10
ISCA 1.068880318E-09 9.279290669E-10 9.161831294E-10
PSO 4.319590685E-09 3.607570243E-09 3.180357977E-09
GOTLBO 1.108874170E-08 9.017218527E-09 8.164238396E-09
MABC 3.106702189E-07 2.253212577E-07 2.253212577E-07
DE 5.369751305E-04 2.655371525E-04 2.655371525E-04
NDE 1.003271303E-01 3.638236593E-02 3.593443308E-02
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
