Method Nemenyi Holm Shaffer
WW 4.420511928E-03 4.226203712E-03 3.789010224E-03
CWOA 7.770696592E-03 7.087558430E-03 6.660597079E-03
PSO 8.681022311E-03 7.822459664E-03 7.440876266E-03
NNA 9.204490081E-02 7.484969956E-02 6.776932257E-02
GOTLBO 1.111372699E-01 8.915407369E-02 8.182634161E-02
ISCA 1.925201929E-01 1.438612431E-01 1.417456366E-01
MABC 1.000000000E+00 7.115238858E-01 6.448185215E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
