Method Nemenyi Holm Shaffer
CWOA 3.361087986E-08 2.622387330E-08 2.474647198E-08
NNA 2.073765864E-06 1.321740880E-06 1.321740880E-06
PSO 4.369699307E-06 2.737064401E-06 2.689045727E-06
WW 1.941926328E-05 1.109672187E-05 1.088332337E-05
ISCA 1.902245666E-03 8.361519412E-04 8.361519412E-04
GOTLBO 9.801332611E-03 4.200571119E-03 4.200571119E-03
MABC 4.804282882E-02 2.006184060E-02 2.006184060E-02
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
