Method Nemenyi Holm Shaffer
CWOA 1.171951425E-12 1.159072838E-12 1.004529793E-12
GOTLBO 1.212363543E-12 1.172395514E-12 1.039168751E-12
DE 1.838751373E-12 1.717515019E-12 1.576072606E-12
NDE 5.011102644E-12 4.460432024E-12 4.295230838E-12
ISCA 8.171330279E-11 6.644818029E-11 6.016254162E-11
MABC 1.583508435E-09 1.165879837E-09 1.165879837E-09
NNA 1.834083774E-09 1.330214605E-09 1.330214605E-09
PSO 5.325860508E-08 3.570082319E-08 3.394504500E-08
WW 6.862958657E-07 4.147942045E-07 4.147942045E-07
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
