Method Nemenyi Holm Shaffer
ISCA 9.100000000E-14 9.100000000E-14 9.100000000E-14
NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
WW 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 4.966649314E-11 4.038813728E-11 3.656763781E-11
PSO 2.009694633E-10 1.612172618E-10 1.479665279E-10
DE 9.772902931E-09 7.088039489E-09 7.088039489E-09
GOTLBO 6.864879243E-08 4.450855773E-08 4.375417539E-08
NDE 2.361932626E-01 7.786591073E-02 7.786591073E-02
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
