Method Nemenyi Holm Shaffer
CWOA 2.970290680E-12 2.905009566E-12 2.545963440E-12
PSO 7.658096379E-12 7.321476758E-12 6.564082611E-12
WW 2.469180416E-11 2.279243461E-11 2.116440356E-11
MABC 1.174780273E-10 1.058593213E-10 1.006954520E-10
NNA 2.746245897E-09 2.233210949E-09 2.021961265E-09
GOTLBO 2.673154520E-08 1.997522059E-08 1.968146734E-08
ISCA 3.587794513E-07 2.405005113E-07 2.286726173E-07
NDE 2.134130129E-04 1.266406890E-04 1.196050952E-04
DE 4.595070124E-02 2.322782700E-02 2.322782700E-02
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
