Method Nemenyi Holm Shaffer
GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 1.515454429E-12 1.432187702E-12 1.298960939E-12
WW 2.181668401E-09 1.893975865E-09 1.870001487E-09
ISCA 5.898346656E-08 4.537189735E-08 4.342738746E-08
NNA 7.976555993E-08 5.960503380E-08 5.872848918E-08
CWOA 1.300233228E-07 9.287380198E-08 8.287200792E-08
DE 4.448184874E-07 2.883987995E-07 2.835106843E-07
NDE 7.112951817E-04 3.439229450E-04 3.361065144E-04
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
