Method Nemenyi Holm Shaffer
PSO 7.844537484E-07 4.741203974E-07 4.741203974E-07
NNA 1.860500836E-01 7.973575012E-02 7.973575012E-02
ISCA 5.439313964E-01 2.092043832E-01 2.092043832E-01
WW 7.251207993E-01 2.629558942E-01 2.549875338E-01
CWOA 1.000000000E+00 9.474060536E-01 9.474060536E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
