Method Nemenyi Holm Shaffer
CWOA 1.434630192E-12 1.261213356E-12 1.229683022E-12
NNA 3.515854274E-12 3.052225139E-12 3.013589378E-12
ISCA 5.980993478E-12 5.126565839E-12 5.126565839E-12
WW 8.345102387E-12 6.877831638E-12 6.144196263E-12
GOTLBO 1.220829882E-09 9.256841960E-10 8.988527700E-10
PSO 1.687535774E-06 9.643061567E-07 9.457618075E-07
MABC 2.231497292E-03 1.054443775E-03 1.054443775E-03
DE 5.022344961E-02 1.986861743E-02 1.986861743E-02
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
