Method Nemenyi Holm Shaffer
WW 6.951102833E-03 6.416402615E-03 5.958088142E-03
PSO 1.342961869E-02 1.136352351E-02 1.033202852E-02
CWOA 1.205403327E-02 1.046449042E-02 1.033202852E-02
NNA 1.338313646E-01 1.044178779E-01 9.853518055E-02
GOTLBO 1.607296970E-01 1.218719681E-01 1.183394472E-01
ISCA 2.740124959E-01 1.987343377E-01 1.987343377E-01
MABC 1.000000000E+00 8.857376739E-01 8.707251709E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
