Method Nemenyi Holm Shaffer
ISCA 1.616484724E-12 1.527666882E-12 1.385558335E-12
GOTLBO 2.469180416E-11 2.252109610E-11 2.116440356E-11
WW 2.009694633E-10 1.766764512E-10 1.722595400E-10
MABC 4.534441711E-10 3.886664324E-10 3.886664324E-10
PSO 1.000179717E-09 8.243239424E-10 7.363960552E-10
NNA 2.047277903E-09 1.664819393E-09 1.507336478E-09
CWOA 5.325860508E-08 4.096815776E-08 3.921237957E-08
DE 1.304419958E-03 6.163742659E-04 6.163742659E-04
NDE 5.022344961E-02 2.042052347E-02 2.042052347E-02
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
