Method Nemenyi Holm Shaffer
WW 5.202736908E-09 4.173624113E-09 3.830586515E-09
PSO 6.359023928E-04 3.144572272E-04 3.144572272E-04
CWOA 7.656420389E-03 3.281323024E-03 3.281323024E-03
NNA 2.544431870E-02 9.786276424E-03 9.786276424E-03
GOTLBO 1.000000000E+00 3.728668467E-01 3.728668467E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00
