Method Nemenyi Holm Shaffer
PSO 4.171338830E-10 3.667111059E-10 3.575433283E-10
WW 1.583508435E-09 1.305089370E-09 1.165879837E-09
CWOA 1.820145634E-08 1.360108826E-08 1.340107225E-08
NNA 1.202809714E-07 8.062790391E-08 7.666259716E-08
GOTLBO 8.702242185E-05 4.781451750E-05 4.590193680E-05
ISCA 3.223208283E-03 1.558474335E-03 1.523054464E-03
MABC 2.984203260E-01 1.049390157E-01 1.049390157E-01
DE 1.000000000E+00 4.595384250E-01 4.595384250E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
