Method Nemenyi Holm Shaffer
ISCA 9.100000000E-14 9.100000000E-14 9.100000000E-14
NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 6.546763132E-12 5.539568804E-12 5.126565839E-12
PSO 1.000179717E-09 7.803599988E-10 7.363960552E-10
DE 1.559160134E-09 1.165086694E-09 1.147953066E-09
WW 1.857692533E-08 1.326923238E-08 1.184023812E-08
GOTLBO 2.083105670E-07 1.304802453E-07 1.281911182E-07
NDE 9.218706661E-02 3.241743002E-02 3.241743002E-02
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
