Method Nemenyi Holm Shaffer
GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 7.031708549E-12 6.490807891E-12 6.027178756E-12
WW 6.971454081E-09 5.745703913E-09 5.132828829E-09
PSO 1.487180090E-08 1.209355238E-08 1.094956770E-08
DE 1.117093995E-07 8.102000404E-08 8.102000404E-08
ISCA 1.500379496E-07 1.038724267E-07 9.562858327E-08
NNA 1.988704983E-07 1.354941856E-07 1.267526253E-07
CWOA 3.139038753E-07 2.104190813E-07 2.000706019E-07
NDE 2.399655954E-04 1.265752591E-04 1.265752591E-04
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
