Method Nemenyi Holm Shaffer
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
GOTLBO 1.434630192E-12 1.403099859E-12 1.229683022E-12
ISCA 1.434630192E-12 1.403099859E-12 1.229683022E-12
MABC 1.616484724E-12 1.545430450E-12 1.385558335E-12
NNA 2.141842259E-12 2.000621890E-12 1.835864794E-12
WW 2.303490731E-12 2.050359882E-12 1.974420627E-12
CWOA 2.485345263E-11 1.939115535E-11 1.829869589E-11
DE 9.525136235E-11 7.222356047E-11 7.013012393E-11
NDE 5.202736908E-09 3.601894782E-09 3.316030117E-09
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
