Method Nemenyi Holm Shaffer
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 7.565148508E-11 6.733813507E-11 6.484413007E-11
GOTLBO 8.750435931E-10 7.308056382E-10 6.442628653E-10
ISCA 6.571899469E-09 5.199744635E-09 4.838651257E-09
DE 3.338817676E-07 2.348179464E-07 2.128037639E-07
WW 3.588483337E-07 2.484334618E-07 2.287165204E-07
NDE 4.703442841E-05 2.635995438E-05 2.635995438E-05
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
