Method Nemenyi Holm Shaffer
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
ISCA 5.900169242E-12 5.575984119E-12 5.057287922E-12
MABC 4.534441711E-10 3.936493354E-10 3.886664324E-10
GOTLBO 8.181433309E-10 7.012657122E-10 7.012657122E-10
DE 2.476034311E-08 1.823014273E-08 1.823014273E-08
NNA 1.988704983E-07 1.267526253E-07 1.267526253E-07
WW 5.241502232E-07 3.052743058E-07 2.937545207E-07
CWOA 6.044493039E-07 3.453996023E-07 3.387573022E-07
NDE 6.268377595E-03 2.755330811E-03 2.755330811E-03
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
