Method Nemenyi Holm Shaffer
GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 3.503730639E-11 3.157207829E-11 3.003197691E-11
WW 2.636163288E-09 2.259568532E-09 2.259568532E-09
CWOA 2.620283952E-07 2.044397369E-07 1.929220053E-07
DE 3.587794311E-07 2.562710222E-07 2.286726044E-07
NNA 4.096528523E-07 2.881075005E-07 2.610974223E-07
ISCA 4.877040494E-07 3.269224946E-07 3.108443392E-07
NDE 3.400155426E-04 1.718759886E-04 1.718759886E-04
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
