Method Nemenyi Holm Shaffer
PSO 3.834301765E-10 2.780922159E-10 2.780922159E-10
DE 5.631954014E-09 3.837155482E-09 3.589597064E-09
CWOA 2.123474951E-08 1.400093375E-08 1.353423595E-08
WW 1.737243811E-07 1.107254297E-07 1.107254297E-07
NNA 1.869042479E-07 1.170718915E-07 1.150179987E-07
GOTLBO 7.844537484E-07 4.741203974E-07 4.741203974E-07
ISCA 7.844537484E-07 4.741203974E-07 4.741203974E-07
MABC 9.027773791E-07 5.257934186E-07 5.059521575E-07
NDE 4.039868548E-04 2.308496313E-04 2.264102153E-04
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
