Method Nemenyi Holm Shaffer
PSO 1.212363543E-12 1.172395514E-12 1.039168751E-12
WW 8.821965380E-11 7.076961239E-11 6.495293192E-11
MABC 1.079003553E-10 8.537170970E-11 7.944311875E-11
ISCA 3.493263900E-09 2.495188500E-09 2.226475893E-09
GOTLBO 2.162527202E-07 1.402078076E-07 1.378314041E-07
CWOA 2.890336517E-07 1.810430565E-07 1.778668626E-07
DE 5.913453716E-07 3.639048440E-07 3.639048440E-07
NDE 1.371578761E-06 8.139038803E-07 7.686869981E-07
NNA 1.177582006E-04 6.729040034E-05 6.599635418E-05
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
