Method Nemenyi Holm Shaffer
PSO 2.903746515E-03 1.627374420E-03 1.627374420E-03
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00
NNA 1.000000000E+00 1.000000000E+00 1.000000000E+00
CWOA 1.000000000E+00 1.000000000E+00 1.000000000E+00
WW 1.000000000E+00 1.000000000E+00 1.000000000E+00
