Method Nemenyi Holm Shaffer
ISCA 1.079003553E-11 1.019717644E-11 9.248601884E-12
GOTLBO 1.735094290E-10 1.544424588E-10 1.487223678E-10
NDE 2.130324805E-10 1.849402853E-10 1.825992690E-10
NNA 1.302522978E-09 1.102134828E-09 9.590004346E-10
MABC 1.314889087E-08 9.970038128E-09 9.681051516E-09
WW 3.513298208E-08 2.548106393E-08 2.548106393E-08
CWOA 1.180845324E-07 8.304846233E-08 7.526266899E-08
DE 6.812724980E-07 4.417041470E-07 4.342176361E-07
PSO 8.812872250E-07 5.616995500E-07 5.616995500E-07
TLBO 1.000000000E+00 7.162597140E-01 7.162597140E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
