Method Nemenyi Holm Shaffer
GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 2.695488277E-11 2.458522275E-11 2.310418523E-11
WW 3.178231234E-09 2.689272582E-09 2.340016403E-09
DE 2.890336517E-07 2.223335782E-07 2.128049963E-07
CWOA 3.001154627E-07 2.223335782E-07 2.209641319E-07
NNA 4.670036895E-07 3.181783379E-07 2.976507032E-07
ISCA 5.549739601E-07 3.598182818E-07 3.537196669E-07
NDE 2.858201008E-04 1.507622510E-04 1.507622510E-04
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
