Method Nemenyi Holm Shaffer
CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 1.786215620E-11 1.648814418E-11 1.531041960E-11
GOTLBO 2.499085383E-10 2.169535662E-10 2.142073185E-10
ISCA 2.181668401E-09 1.750129597E-09 1.606283329E-09
WW 1.573182331E-07 1.175564819E-07 1.158277101E-07
PSO 4.471141584E-07 3.046272288E-07 2.849738592E-07
NNA 7.157619171E-07 4.797964499E-07 4.561999032E-07
DE 1.193733577E-06 7.739591321E-07 7.608411807E-07
NDE 1.409575958E-04 7.744922846E-05 7.435125933E-05
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
